82	87556	4598	17296-5
170	87800	1312	16600-9
147	87178		23908-7
146	80076	58	1742-6
141	87178		16600-9
140	87340	217	16128-1
143	86804	1867	5199-5
142	87491	4319	24111-7
87	87491	4321	24111-7
84	86708	4329	22314-9
149	83898	1627	6422-0
148	87116	4694	11545-1
81	87591	2910	24111-7
80	87591	4804	24111-7
10	87178	1312	16600-9
11	80074	223	5195-3
12	86790	3660	14212-5
13	87521	3545	5012-0
14	LA0269	2893	33899-6
15	86804	3185	5199-5
16	86803	217	16128-1
17	80053	2893	33899-6
18	87491	2878	21613-5
19	87491	2910	24111-7
65	87077	1565	691-6
64	87491	2879	21613-5
67	87521	1627	6422-2
66	87517	2413	16934-2
61	82251	2893	33899-6
60	84460	3840	17296-5
63	84450	1792	1920-8
62	86706	223	5195-3
137	87491	4323	24111-7
109	80053	57	1920-8
108	87116	931	11475-1
101	87116	3838	11545-1
100	82247	2893	33899-6
103	80074	211	22314-9
102	LA0219	1311	23908-7
105	87491	4320	21613-5
104	87116	3840	17269-5
107	86803	2510	MDPH-144
106	86632		33574-5
2	80076	2893	33899-6
3	86705	4329	22314-9
1	82247	206	29760-6
6	86631	1312	16601-7
7	87491		20993-2
4	87340	223	5195-3
5	87491	4082	21613-5
8	86705	223	5195-3
9	87800	1311	23908-7
95	87491	4803	21613-5
29	84460	58	1742-6
28	87591	4311	23908-7
21	80074	4330	31204-1
20	87340	4329	22314-9
23	84450	58	1742-6
22	82251	365	33899-6
25	86631		16601-7
24	86705	4870	31204-1
27	87591	1311	23908-7
26	87491	2178	16600-9
32	87591	2488	24111-7
33	87522	3352	5012-0
30	87591	4323	24111-7
31	87116	3836	17296-5
34	LA0269	1792	1920-8
98	82040	2893	33899-6
171	87491	2906	21613-5
172	87077	4308	691-6
173	80074	4329	22314-9
174	87591	2933	24111-7
90	87492		16601-7
91	87492	2026	16601-7
92	87206	3761	11545-1
93	84460	1728	1742-6
94	LA0219		23908-7
96	86709	4329	22314-9
97	LA0349	206	29760-6
99	87591	2686	36902-5
145	84450	57	1920-8
144	87116	3021	11475-1
85	87491	4312	20993-2
76	LA0219	1312	16600-9
77	87591	4083	24111-7
74	87522	3351	34704-7
72	86781	1499	20507-0
73	82247	2551	33899-6
70	82947	57	1920-8
71	LA0349	478	14630-8
75	87591	2903	24111-7
134	80053	1728	1742-6
135	87491	2686	36902-5
136	83898	4064	5012-0
130	86631	835	21613-5
131	86704	217	16128-1
132	87350	3566	13954-3
133	80076	206	29760-6
138	82248	1511	29760-6
139	87491	4085	24111-7
38	87522	4762	34704-7
39	87522	2354	34704-7
36	87077	2805	691-6
37	80076	57	1920-8
35	82247	365	33899-6
78	82247	478	14630-8
79	82247	1448	33899-6
169	82947	58	1742-6
168	86705	4330	31204-1
167	87800	2178	16600-9
166	84460	3836	17296-5
165	87591	2902	24111-7
164	86781	1829	11597-2
163	87491	1312	20993-2
162	87491	2487	21613-5
161	82248	206	29760-6
160	87491	4322	21613-5
152	87350	481	13954-3
153	87491	4084	21613-5
43	86708	211	22314-9
42	82251	206	29760-6
41	84460	3838	11545-1
40	87522	4041	20416-4
47	86704	223	5195-3
46	82040	57	1920-8
45	82040	58	1742-6
44	80053	58	1742-6
49	81000	206	29760-6
48	80074	2510	MDPH-144
156	87491	2801	21613-5
157	87522	4040	11259-9
154	85048	58	1742-6
155	83898	1712	10676-5
150	87178	1311	23908-7
151	87522	4064	5012-0
158	80076	478	14630-8
123	87800		23908-7
122	83898	4063	34704-7
121	80053	365	33899-6
120	80074	217	16128-1
127	88346		14510-2
126	87081	4309	691-6
125	LA0269	1793	1742-6
124	87116	2785	11545-1
129	87491	4804	24111-7
128	87591	4321	24111-7
159	87110	3474	6349-5
69	82040	478	14630-8
68	87517	2414	5009-6
89	87591	2487	16601-7
118	86781	644	34147-9
119	87491	4318	21613-5
112	86592	458	20507-0
113	86592	4043	20507-0
110	82247	2938	33899-6
111	86781	1973	34147-9
116	86781	1500	20507-0
117	86592	385	20507-0
114	86592	1317	20507-0
115	80055	4043	20507-0
88	87591		23908-7
86	87800	2177	23908-7
83	87800	4310	36902-5
58	82040	206	29760-6
59	82248	1715	29760-6
54	87522	2355	38180-6
55	87522	2352	5012-0
56	84455	57	1920-8
57	87521	3544	34704-7
50	80076	365	33899-6
51	80055	223	5195-3
52	82947	365	33899-6
53	83898	1667	13126-8
