171	87340	4329	22314-9
145	86708	211	22314-9
98	80076	478	14630-8
147	82040	58	1742-6
146	87491	4084	21613-5
141	86781	1500	20507-0
140	87591	2487	16601-7
143	84460	3838	11545-1
88	80074	4329	22314-9
86	87206	3761	11545-1
148	82040	57	1920-8
80	88346		14510-2
49	LA0269	1792	1920-8
48	87491	4321	24111-7
10	87491		20993-2
11	86708	4329	22314-9
12	83898	1627	6422-0
13	87116	4694	11545-1
14	87591	2910	24111-7
15	87591	4804	24111-7
16	87178	1312	16600-9
17	80074	223	5195-3
18	86790	3660	14212-5
19	87521	3545	5012-0
65	80055	223	5195-3
64	80076	206	29760-6
67	83898	1667	13126-8
66	82947	365	33899-6
61	86706	223	5195-3
60	87491	2879	21613-5
63	87350	3566	13954-3
68	82947	57	1920-8
138	86781	644	34147-9
139	87517	2414	5009-6
109	82247	2893	33899-6
108	87116	3838	11545-1
101	87522	4040	11259-9
100	87491	2801	21613-5
103	83898	4063	34704-7
102	85048	58	1742-6
105	LA0219	1311	23908-7
104	80074	211	22314-9
107	84450	1792	1920-8
106	84460	3840	17296-5
2	87591	4321	24111-7
3	87491	4804	24111-7
1	87521	3544	34704-7
6	82247	2551	33899-6
7	80076	365	33899-6
4	80074	217	16128-1
5	80053	365	33899-6
8	82040	478	14630-8
9	84450	57	1920-8
43	87340	217	16128-1
42	87556	4598	17296-5
29	87800		23908-7
28	87522	4064	5012-0
21	87522	3352	5012-0
20	LA0269	2893	33899-6
23	87116	3836	17296-5
22	87591	2488	24111-7
25	86705	4870	31204-1
24	87591	4323	24111-7
27	82040	2893	33899-6
26	86631		16601-7
82	87116	3021	11475-1
79	LA0219	1312	16600-9
34	87522	2354	34704-7
35	87522	4762	34704-7
170	80074	4330	31204-1
99	80074	2510	MDPH-144
172	87491	4082	21613-5
173	86705	223	5195-3
174	87800	1311	23908-7
175	87491	4803	21613-5
90	87491	2906	21613-5
91	87077	4308	691-6
92	86709	4329	22314-9
93	87081	4309	691-6
94	LA0219		23908-7
95	87492	2026	16601-7
96	83898	1712	10676-5
97	87178	1311	23908-7
144	82251	206	29760-6
85	LA0349	206	29760-6
142	86592	385	20507-0
84	87591	2686	36902-5
149	86704	223	5195-3
81	87491	4312	20993-2
76	LA0269	1793	1742-6
77	87116	2785	11545-1
74	86631	835	21613-5
72	87491	2686	36902-5
73	83898	4064	5012-0
70	87591	2903	24111-7
71	80053	1728	1742-6
78	86781	1499	20507-0
134	82247	2938	33899-6
135	86781	1973	34147-9
136	86592	458	20507-0
137	86592	4043	20507-0
130	82247	206	29760-6
131	86705	4329	22314-9
132	80076	2893	33899-6
133	87340	223	5195-3
75	86704	217	16128-1
38	82247	478	14630-8
39	82247	365	33899-6
32	87491	4085	24111-7
33	82248	1511	29760-6
30	82947	58	1742-6
31	82247	1448	33899-6
36	80076	57	1920-8
37	87077	2805	691-6
169	87591	4311	23908-7
168	84460	58	1742-6
167	82251	365	33899-6
166	84450	58	1742-6
165	87517	7285	5009-6
164	87591	4083	24111-7
163	87522	3351	34704-7
162	87491	1312	20993-2
161	86781	1829	11597-2
160	82248	206	29760-6
41	87178		23908-7
40	87800	1312	16600-9
47	87491	4319	24111-7
46	87178		16600-9
45	80076	58	1742-6
44	86804	1867	5199-5
158	87800	2178	16600-9
156	87591	2902	24111-7
157	86705	4330	31204-1
154	87350	481	13954-3
155	84460	3836	17296-5
152	80053	58	1742-6
153	87491	4322	21613-5
150	87522	4041	20416-4
151	81000	206	29760-6
123	87591	1311	23908-7
122	86592	1317	20507-0
121	80055	4043	20507-0
120	87591		23908-7
127	87116	3840	17269-5
126	86803	2510	MDPH-144
125	86632		33574-5
124	87491	4318	21613-5
129	86631	1312	16601-7
128	87491	4320	21613-5
62	87491	4323	24111-7
159	87491	2487	21613-5
69	LA0349	478	14630-8
89	87591	2933	24111-7
118	87800	4310	36902-5
119	87800	2177	23908-7
112	87491	2178	16600-9
113	84455	57	1920-8
110	80053	57	1920-8
111	87116	931	11475-1
116	82248	1715	29760-6
117	82040	206	29760-6
114	87522	2352	5012-0
115	87522	2355	38180-6
87	84460	1728	1742-6
83	87110	3474	6349-5
58	87491	2910	24111-7
59	87521	1627	6422-2
54	86804	3185	5199-5
55	87491	2878	21613-5
56	80053	2893	33899-6
57	87077	1565	691-6
50	87492		16601-7
51	82251	2893	33899-6
52	87517	2413	16934-2
53	86803	217	16128-1
