Fri, 22 May 2009 07:06:36 INFO Load CPTLOINC Map
Fri, 22 May 2009 07:06:36 INFO Total 186 CPT_Loinc_map records in file
Fri, 22 May 2009 07:06:37 INFO Done on saving into esp_cptloincmap table.
Fri, 22 May 2009 07:12:45 INFO Done on Adding new loinc to esp_lx table
Fri, 22 May 2009 07:12:45 INFO deleted cptcmpt_list and dic
Fri, 22 May 2009 07:12:45 INFO ## Correct CPTLOINC Map in esp_lx table
Fri, 22 May 2009 07:12:45 INFO # got all case objects
Fri, 22 May 2009 07:12:45 INFO # created caselxid_dict of len 3552
Fri, 22 May 2009 07:12:45 INFO # created cptmap of len 186
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61601066
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61728625
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61729122
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61729740
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61731129
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61731363
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61833688
Fri, 22 May 2009 07:28:08 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61881045
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61882398
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61882650
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61883526
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61884032
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61884845
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61884996
Fri, 22 May 2009 07:28:09 INFO CPT=87517, Comp=7548, CorrectLoinc=None, LxLoinc=16934-2, Lxid=61885137
