CPT	Component	LOINC
80053	57	1920-8
80053	58	1742-6
80053	365	33899-6
80053	1728	1742-6
80053	2893	33899-6
80055	223	5195-3
80055	4043	20507-0
80074	211	22314-9
80074	217	16128-1
80074	223	5195-3
80074	2510	MDPH-144
80074	4329	22314-9
80074	4330	31204-1
80076	57	1920-8
80076	58	1742-6
80076	206	29760-6
80076	365	33899-6
80076	478	14630-8
80076	2893	33899-6
81000	206	29760-6
82040	57	1920-8
82040	58	1742-6
82040	206	29760-6
82040	478	14630-8
82040	2893	33899-6
82247	206	29760-6
82247	365	33899-6
82247	478	14630-8
82247	1448	33899-6
82247	2551	33899-6
82247	2893	33899-6
82247	2938	33899-6
82248	206	29760-6
82248	1511	29760-6
82248	1715	29760-6
82251	206	29760-6
82251	365	33899-6
82251	2893	33899-6
82947	57	1920-8
82947	58	1742-6
82947	365	33899-6
83898	1627	6422-0
83898	1667	13126-8
83898	1712	10676-5
83898	4063	34704-7
83898	4064	5012-0
84450	57	1920-8
84450	58	1742-6
84450	1792	1920-8
84455	57	1920-8
84460	58	1742-6
84460	1728	1742-6
84460	3836	17296-5
84460	3838	11545-1
84460	3840	17296-5
85048	58	1742-6
86592	385	20507-0
86592	458	20507-0
86592	1317	20507-0
86592	4043	20507-0
86631	835	21613-5
86631	1312	16601-7
86631		16601-7
86632		33574-5
86704	217	16128-1
86704	223	5195-3
86705	223	5195-3
86705	4329	22314-9
86705	4330	31204-1
86705	4870	31204-1
86706	223	5195-3
86708	211	22314-9
86708	4329	22314-9
86709	4329	22314-9
86781	644	34147-9
86781	1499	20507-0
86781	1500	20507-0
86781	1829	11597-2
86781	1973	34147-9
86790	3660	14212-5
86803	217	16128-1
86803	2510	MDPH-144
86804	1867	5199-5
86804	3185	5199-5
87077	1565	691-6
87077	2805	691-6
87077	4308	691-6
87081	4309	691-6
87110	3474	6349-5
87116	931	11475-1
87116	2785	11545-1
87116	3021	11475-1
87116	3836	17296-5
87116	3838	11545-1
87116	3840	17269-2
87116	4694	11545-1
87178	1311	23908-7
87178	1312	16600-9
87178		16600-9
87206	3761	11545-1
87340	217	16128-1
87340	223	5195-3
87340	4329	22314-9
87350	481	13954-3
87350	3566	13954-3
87491	1312	20993-2
87491	2178	16600-9
87491	2487	21613-5
87491	2686	36902-5
87491	2801	21613-5
87491	2878	21613-5
87491	2879	21613-5
87491	2906	21613-5
87491	2910	24111-7
87491	4082	21613-5
87491	4084	21613-5
87491	4085	24111-7
87491	4312	20993-2
87491	4318	21613-5
87491	4319	24111-7
87491	4320	21613-5
87491	4321	24111-7
87491	4322	21613-5
87491	4323	24111-7
87491	4803	21613-5
87491	4804	24111-7
87491		20993-2
87492	2026	16601-7
87492		16601-7
87517	2413	16934-2
87517	2414	5009-6
87517	7285	5009-6
87521	1627	6422-0
87521	3544	34704-7
87521	3545	5012-0
87522	2352	5012-0
87522	2354	34704-7
87522	2355	38180-6
87522	3351	34704-7
87522	3352	5012-0
87522	4040	11259-9
87522	4041	20416-4
87522	4064	5012-0
87522	4762	34704-7
87556	4598	17296-5
87591	1311	23908-7
87591	2487	16601-7
87591	2488	24111-7
87591	2686	36902-5
87591	2902	24111-7
87591	2903	24111-7
87591	2910	24111-7
87591	2933	24111-7
87591	4083	24111-7
87591	4311	23908-7
87591	4321	24111-7
87591	4323	24111-7
87591	4804	24111-7
87591		23908-7
87800	1311	23908-7
87800	1312	16600-9
87800	2177	23908-7
87800	2178	16600-9
87800	4310	36902-5
87800		23908-7
88346		14510-2
LA0219	1311	23908-7
LA0219	1312	16600-9
LA0219		23908-7
LA0269	1792	1920-8
LA0269	1793	1742-6
LA0269	2893	33899-6
LA0349	206	29760-6
LA0349	478	14630-8
