name,rx_dose,conversion_factor,dosage_strength,type
ALPRAZOLAM 0.25 MG PO TABS,,2.000,0.25,2
ALPRAZOLAM 0.25 MG PO TBDP,,2.000,0.25,2
ALPRAZOLAM 0.5 MG PO TABS,,2.000,0.5,2
ALPRAZOLAM 0.5 MG PO TBDP,,2.000,0.5,2
ALPRAZOLAM 1 MG PO TABS,,2.000,1,2
ALPRAZOLAM 1 MG PO TBDP,,2.000,1,2
ALPRAZOLAM 2 MG PO TABS,,2.000,2,2
ALPRAZOLAM 2 MG PO TBDP,,2.000,2,2
ALPRAZOLAM ER 0.5 MG PO TB24,,2.000,0.5,2
ALPRAZOLAM ER 1 MG PO TB24,,2.000,1,2
ALPRAZOLAM ER 2 MG PO TB24,,2.000,2,2
ALPRAZOLAM ER 3 MG PO TB24,,2.000,3,2
ALPRAZOLAM XR 0.5 MG PO TB24,,2.000,0.5,2
ALPRAZOLAM XR 1 MG PO TB24,,2.000,1,2
ALPRAZOLAM XR 2 MG PO TB24,,2.000,2,2
NIRAVAM 1 MG PO TBDP,,2.000,1,2
XANAX 0.25 MG PO TABS,,2.000,0.25,2
XANAX 0.5 MG PO TABS,,2.000,0.5,2
XANAX 1 MG PO TABS,,2.000,1,2
XANAX 2 MG PO TABS,,2.000,2,2
XANAX XR 0.5 MG PO TB24,,2.000,0.5,2
XANAX XR 1 MG PO TB24,,2.000,1,2
XANAX XR 2 MG PO TB24,,2.000,2,2
XANAX XR 3 MG PO TB24,,2.000,3,2
CHLORDIAZEPOXIDE-CLIDINIUM 5-2.5 MG PO CAPS,,0.040,5,2
CHLORDIAZEPOXIDE HCL 10 MG PO CAPS,,0.040,10,2
CHLORDIAZEPOXIDE HCL 25 MG PO CAPS,,0.040,25,2
CHLORDIAZEPOXIDE HCL 5 MG PO CAPS,,0.040,5,2
CLIDINIUM-CHLORDIAZEPOXIDE 2.5-5 MG PO CAPS,,0.040,5,2
LIBRIUM 10 MG PO CAPS,,0.040,10,2
LIBRIUM 25 MG PO CAPS,,0.040,25,2
LIBRIUM 5 MG PO CAPS,,0.040,5,2
RE CHLORDIAZEPOXIDE/CLIDINIUM 5-2.5 MG PO CAPS,,0.040,5,2
CLONAZEPAM 0.125 MG PO TABS,,1.000,0.125,2
CLONAZEPAM 0.125 MG PO TBDP,,1.000,0.125,2
CLONAZEPAM 0.25 MG PO TABS,,1.000,0.25,2
CLONAZEPAM 0.25 MG PO TBDP,,1.000,0.25,2
CLONAZEPAM 0.5 MG PO TABS,,1.000,0.5,2
CLONAZEPAM 0.5 MG PO TBDP,,1.000,0.5,2
CLONAZEPAM 1 MG PO TABS,,1.000,1,2
CLONAZEPAM 1 MG PO TBDP,,1.000,1,2
CLONAZEPAM 2 MG PO TABS,,1.000,2,2
CLONAZEPAM 2 MG PO TBDP,,1.000,2,2
CLONAZEPAM ODT 0.25 MG OR TBDP,,1.000,0.25,2
CLONAZEPAM ODT 1 MG OR TBDP,,1.000,1,2
KLONOPIN 0.5 MG PO TABS,,1.000,0.5,2
KLONOPIN 1 MG PO TABS,,1.000,1,2
KLONOPIN 2 MG PO TABS,,1.000,2,2
KLONOPIN WAFER 0.125 MG PO TBDP,,1.000,0.125,2
KLONOPIN WAFER 0.25 MG PO TBDP,,1.000,0.25,2
KLONOPIN WAFER 0.5 MG PO TBDP,,1.000,0.5,2
KLONOPIN WAFER 1 MG PO TBDP,,1.000,1,2
CLORAZEPATE DIPOTASSIUM 15 MG PO TABS,,0.100,15,2
CLORAZEPATE DIPOTASSIUM 3.75 MG PO TABS,,0.100,3.75,2
CLORAZEPATE DIPOTASSIUM 7.5 MG PO TABS,,0.100,7.5,2
TRANXENE-SD 11.25 MG PO TB24,,0.100,11.25,2
TRANXENE-T 15 MG PO TABS,,0.100,15,2
TRANXENE-T 3.75 MG PO TABS,,0.100,3.75,2
TRANXENE-T 7.5 MG PO TABS,,0.100,7.5,2
DIASTAT 15 MG RE GEL,,0.200,15,2
DIASTAT 20 MG RE MISC,,0.200,20,2
DIASTAT ACUDIAL 10 MG PR GEL,,0.200,10,2
DIASTAT ACUDIAL 10 MG RE MISC,,0.200,10,2
DIASTAT ACUDIAL 20 MG PR GEL,,0.200,20,2
DIASTAT MISC 10 MG RE,,0.200,10,2
DIASTAT PEDIATRIC 2.5 MG PR GEL,,0.200,2.5,2
DIASTAT PEDIATRIC 5 MG RE GEL,,0.200,5,2
DIASTAT PEDIATRIC 5 MG RE MISC,,0.200,5,2
DIASTAT UNIVERSAL 10 MG RE GEL,,0.200,10,2
DIASTAT UNIVERSAL 10 MG RE MISC,,0.200,10,2
DIAZEPAM 10 MG PO TABS,,0.200,10,2
DIAZEPAM 10 MG PR GEL,,0.200,10,2
DIAZEPAM 10 MG RE MISC,,0.200,10,2
DIAZEPAM 15 MG RE MISC,,0.200,15,2
DIAZEPAM 1 MG/ML PO SOLN,,0.200,1,2
DIAZEPAM 20 MG PR GEL,,0.200,20,2
DIAZEPAM 20 MG RE MISC,,0.200,20,2
DIAZEPAM 2.5 MG PO TABS,,0.200,2.5,2
DIAZEPAM 2.5 MG PR GEL,,0.200,2.5,2
DIAZEPAM 2.5 MG RE MISC,,0.200,2.5,2
DIAZEPAM 2 MG PO TABS,,0.200,2,2
DIAZEPAM 5 MG/ML IJ SOLN,,0.200,5,2
DIAZEPAM 5 MG/ML PO CONC,,0.200,5,2
DIAZEPAM 5 MG PO TABS,,0.200,5,2
DIAZEPAM 5 MG RE GEL,,0.200,5,2
DIAZEPAM 5 MG RE MISC,,0.200,5,2
HYDROXYZINE PAMOATE 100 MG PO CAPS,,0.200,100,2
HYDROXYZINE PAMOATE 25 MG/5ML PO SUSP,,0.200,5,2
HYDROXYZINE PAMOATE 25 MG PO CAPS,,0.200,25,2
HYDROXYZINE PAMOATE 50 MG PO CAPS,,0.200,50,2
IMIPRAMINE PAMOATE 100 MG PO CAPS,,0.200,100,2
IMIPRAMINE PAMOATE 150 MG PO CAPS,,0.200,150,2
IMIPRAMINE PAMOATE 75 MG PO CAPS,,0.200,75,2
VALIUM 10 MG PO TABS,,0.200,10,2
VALIUM 2 MG PO TABS,,0.200,2,2
VALIUM 5 MG PO TABS,,0.200,5,2
ESTAZOLAM 1 MG PO TABS,,0.667,1,2
ESTAZOLAM 2 MG PO TABS,,0.667,2,2
PROSOM 1 MG PO TABS,,0.667,1,2
DALMANE 15 MG PO CAPS,,0.667,15,2
DALMANE 30 MG PO CAPS,,0.667,30,2
FLURAZEPAM HCL 15 MG PO CAPS,,0.667,15,2
FLURAZEPAM HCL 30 MG PO CAPS,,0.667,30,2
ATIVAN 0.5 MG PO TABS,,1.000,0.5,2
ATIVAN 1 MG PO TABS,,1.000,1,2
ATIVAN 2 MG PO TABS,,1.000,2,2
ATIVAN 4 MG/ML IJ SOLN,,1.000,4,2
LORAZEPAM 0.5 MG PO TABS,,1.000,0.5,2
LORAZEPAM 1 MG PO TABS,,1.000,1,2
LORAZEPAM 2 MG/ML IJ SOLN,,1.000,2,2
LORAZEPAM 2 MG/ML PO CONC,,1.000,2,2
LORAZEPAM 2 MG PO TABS,,1.000,2,2
LORAZEPAM INFUSION,,1.000,,2
LORAZEPAM INFUSION (PREMIX),,1.000,,2
LORAZEPAM POWD,,1.000,,2
OXAZEPAM 10 MG PO CAPS,,0.100,10,2
OXAZEPAM 15 MG PO CAPS,,0.100,15,2
