CPT_CODE,CPT_LONG_DESCRIPTION,CPT_SHORT_DESCRIPTION
00100,"ANESTHESIA FOR PROCEDURES ON SALIVARY GLANDS, INCLUDING BIOPSY","ANESTH, SALIVARY GLAND"
00102,ANESTHESIA FOR PROCEDURES ON PLASTIC REPAIR OF CLEFT LIP,"ANESTH, REPAIR OF CLEFT LIP"
00103,"ANESTHESIA FOR RECONSTRUCTIVE PROCEDURES OF EYELID (EG, BLEPHAROPLASTY, PTOSIS SURGERY)","ANESTH, BLEPHAROPLASTY"
00104,ANESTHESIA FOR ELECTROCONVULSIVE THERAPY,"ANESTH, ELECTROSHOCK"
00120,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  NOT OTHERWISE SPECIFIED","ANESTH, EAR SURGERY"
00124,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  OTOSCOPY","ANESTH, EAR EXAM"
00126,"ANESTHESIA FOR PROCEDURES ON EXTERNAL, MIDDLE, AND INNER EAR INCLUDING BIOPSY  TYMPANOTOMY","ANESTH, TYMPANOTOMY"
00140,ANESTHESIA FOR PROCEDURES ON EYE  NOT OTHERWISE SPECIFIED,"ANESTH, PROCEDURES ON EYE"
00142,ANESTHESIA FOR PROCEDURES ON EYE  LENS SURGERY,"ANESTH, LENS SURGERY"
00144,ANESTHESIA FOR PROCEDURES ON EYE  CORNEAL TRANSPLANT,"ANESTH, CORNEAL TRANSPLANT"
00145,ANESTHESIA FOR PROCEDURES ON EYE  VITREORETINAL SURGERY,"ANESTHES,VITREORETINAL SURGERY"
00147,ANESTHESIA FOR PROCEDURES ON EYE  IRIDECTOMY,"ANESTH, IRIDECTOMY"
00148,ANESTHESIA FOR PROCEDURES ON EYE  OPHTHALMOSCOPY,"ANESTH, EYE EXAM"
00160,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES NOT OTHERWISE SPECIFIED,"ANESTH, NOSE/SINUS SURGERY"
00162,ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES RADICAL SURGERY,"ANESTH, NOSE/SINUS SURGERY"
00164,"ANESTHESIA FOR PROCEDURES ON NOSE AND ACCESSORY SINUSES BIOPSY, SOFT TISSUE","ANESTH, BIOPSY OF NOSE"
00170,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY NOT OTHERWISE SPECIFIED","ANESTH, PROCEDURE ON MOUTH"
00172,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY REPAIR OF CLEFT PALATE","ANESTH, CLEFT PALATE REPAIR"
00174,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY EXCISION OF RETROPHARYNGEAL TUMOR","ANESTH, PHARYNGEAL SURGERY"
00176,"ANESTHESIA FOR INTRAORAL PROCEDURES, INCLUDING BIOPSY RADICAL SURGERY","ANESTH, PHARYNGEAL SURGERY"
00190,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL NOT OTHERWISE SPECIFIED,"ANES,FACIAL BONE/SKULL NOS"
00192,ANESTHESIA FOR PROCEDURES ON FACIAL BONES OR SKULL RADICAL SURGERY (INCLUDING PROGNATHISM),"ANES,FACE BNE/SKULL RADCL SURG"
00210,ANESTHESIA FOR INTRACRANIAL PROCEDURES NOT OTHERWISE SPECIFIED,"ANESTH, OPEN HEAD SURGERY"
00212,ANESTHESIA FOR INTRACRANIAL PROCEDURES SUBDURAL TAPS,"ANESTH, SKULL DRAINAGE"
00214,"ANESTHESIA FOR INTRACRANIAL PROCEDURES BURR HOLES, INCLUDING VENTRICULOGRAPHY","ANESTH, SKULL DRAINAGE"
00215,"ANESTHESIA FOR INTRACRANIAL PROCEDURES CRANIOPLASTY OR ELEVATION OF DEPRESSED SKULL FRACTURE, EXTRADURAL (SIMPLE OR COMPOUND)","ANES INTRACRN CRANIOPLS,XTRADR"
00216,ANESTHESIA FOR INTRACRANIAL PROCEDURES VASCULAR PROCEDURES,"ANESTH, HEAD VESSEL SURGERY"
00218,ANESTHESIA FOR INTRACRANIAL PROCEDURES PROCEDURES IN SITTING POSITION,"ANESTH, SPECIAL HEAD SURGERY"
00220,ANESTHESIA FOR INTRACRANIAL PROCEDURES CEREBROSPINAL FLUID SHUNTING PROCEDURES,"ANESTH, INTRCRN NERVE"
00222,ANESTHESIA FOR INTRACRANIAL PROCEDURES ELECTROCOAGULATION OF INTRACRANIAL NERVE,"ANESTH, HEAD NERVE SURGERY"
00300,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED","ANESTH, HEAD/NECK/PTRUNK"
00320,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK NOT OTHERWISE SPECIFIED, AGE 1 YEAR OR OLDER","ANESTH, NECK ORGAN, 1 & OVER",
00322,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX, TRACHEA AND LYMPHATIC SYSTEM OF NECK NEEDLE BIOPSY OF THYROID","ANESTH, BIOPSY OF THYROID",
00326,ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN LESS THAN 1 YEAR OF AGE,"ANESTH, LARYNX/TRACH, < 1 YR",
00350,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK NOT OTHERWISE SPECIFIED,"ANESTH, NECK VESSEL SURGERY",
00352,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK SIMPLE LIGATION,"ANESTH, NECK VESSEL SURGERY",
00400,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THE EXTREMITIES, ANTERIOR TRUNK AND PERINEUM NOT OTHERWISE SPECIFIED","ANESTH, SKIN, EXT/PER/ATRUNK",
00402,"ANESTHESIA FOR PROCEDURES ON ANTERIOR INTEGUMENTARY SYSTEM OF CHEST, INCLUDING SUBCUTANEOUS TISSUE RECONSTRUCTIVE PROCEDURES ON BREAST (EG, RE","ANESTH, SURGERY OF BREAST","TION OR AUGMENTATION MAMMOPLASTY, MUSCLE FLAPS)"
00404,"ANESTHESIA FOR PROCEDURES ON ANTERIOR INTEGUMENTARY SYSTEM OF CHEST, INCLUDING SUBCUTANEOUS TISSUE RADICAL OR MODIFIED RADICAL PROCEDURES ON B","ANESTH, SURGERY OF BREAST",ST
00406,"ANESTHESIA FOR PROCEDURES ON ANTERIOR INTEGUMENTARY SYSTEM OF CHEST, INCLUDING SUBCUTANEOUS TISSUE RADICAL OR MODIFIED RADICAL PROCEDURES ON B","ANESTH, SURGERY OF BREAST",STWITH INTERNAL MAMMARY NODE DISSECTION
00410,"ANESTHESIA FOR PROCEDURES ON ANTERIOR INTEGUMENTARY SYSTEM OF CHEST, INCLUDING SUBCUTANEOUS TISSUE ELECTRICAL CONVERSION OF ARRHYTHMIAS","ANESTH, CORRECT HEART RHYTHM",
00450,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA NOT OTHERWISE SPECIFIED,"ANESTH, SURGERY OF SHOULDER",
00452,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA RADICAL SURGERY,"ANESTH, SURGERY OF SHOULDER",
00454,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA BIOPSY OF CLAVICLE,"ANESTH, COLLAR BONE BIOPSY",
00470,ANESTHESIA FOR PARTIAL RIB RESECTION NOT OTHERWISE SPECIFIED,"ANESTH, REMOVAL OF RIB",
00472,ANESTHESIA FOR PARTIAL RIB RESECTION THORACOPLASTY (ANY TYPE),"ANESTH, CHEST WALL REPAIR",
00474,"ANESTHESIA FOR PARTIAL RIB RESECTION RADICAL PROCEDURES (EG, PECTUS EXCAVATUM)","ANESTH, SURGERY OF RIB(S)",
00500,ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS,"ANESTH, ESOPHAGEAL SURGERY",
00520,ANESTHESIA FOR CLOSED CHEST PROCEDURES (INCLUDING BRONCHOSCOPY) NOT OTHERWISE SPECIFIED,"ANESTH, CHEST PROCEDURE",
00522,"ANESTHESIA FOR CLOSED CHEST PROCEDURES (INCLUDING ESOPHAGOSCOPY, BRONCHOSCOPY, THORACOSCOPY) NEEDLE BIOPSY OF PLEURA","ANESTH, CHEST LINING BIOPSY",
00524,"ANESTHESIA FOR CLOSED CHEST PROCEDURES (INCLUDING ESOPHAGOSCOPY, BRONCHOSCOPY, THORACOSCOPY) PNEUMOCENTESIS","ANESTH, CHEST DRAINAGE",
00528,ANESTHESIA FOR CLOSED CHEST PROCEDURES MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY,"ANESTH, CHEST PARTITION VIEW",
00530,ANESTHESIA FOR PERMANENT TRANSVENOUS PACEMAKER INSERTION,"ANES,PERM TRANSVEN PACEMKR",
00532,ANESTHESIA FOR ACCESS TO CENTRAL VENOUS CIRCULATION,"ANESTH, VASCULAR ACCESS",
00534,ANESTHESIA FOR TRANSVENOUS INSERTION OR REPLACEMENT OF PACING CARDIOVERTER-DEFIBRILLATOR,"ANES,TRANSVEN CARDIVRTR-DEFIB",
00537,ANESTHESIA FOR CARDIAC ELECTROPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION,"ANES CARD ELECTROPHY,RAD ABLAT",
